Fx-exp-RC,,Fx-num-RC,,Fz-exp-RC,,Fz-num-RC,
X,Y,X,Y,X,Y,X,Y
-2.3513642434920055,0,-2.343635848279213,0.02691790040377029,-2.343635848279213,0.053835800807537026,-2.3552284410984012,0.053835800807537026
-2.1736111535977862,0.053835800807537026,-2.080870411044281,0.053835800807537026,-1.9997222613099634,0.08075370121130732,-2.046092632586716,0.053835800807537026
-1.8374259618413287,0.053835800807537026,-1.8065123809901602,0.053835800807537026,-1.5785247222127925,0.10767160161507405,-1.7833271953517837,0.053835800807537026
-1.3969074347121775,0.053835800807537026,-1.4973765724784749,0.02691790040377029,-1.369858051467405,0.053835800807537026,-1.5669321293936043,0.02691790040377029
-1.199833356785978,0.1345895020188408,-1.257796320881919,0.02691790040377029,-1.2423395304563347,0.1345895020188408,-1.4239568179569497,0.02691790040377029
-1.0684506381685117,0.4306864064602962,-1.072314835774908,0.053835800807537026,-1.1341419974772449,0.619111709286674,-1.2693889137011072,-0.026917900403766737
-0.9138827339126694,0.9690444145356665,-0.9332037219446496,0.2153432032301481,-1.0452654525301353,0.9421265141318962,-1.141870392690037,0.1345895020188408
-0.7786358176888071,1.588156123822344,-0.8134135961463718,0.4037685060565295,-0.9370679195510456,1.2651413189771183,-1.0452654525301353,0.4037685060565295
-0.6820308775289055,2.099596231493944,-0.666574087103321,0.8882907133243592,-0.8056852009335795,1.4535666218034997,-0.9332037219446496,0.9152086137281294
-0.5622407517306276,2.718707940780618,-0.5467839613050431,1.48048452220727,-0.6936234703480935,1.4535666218034997,-0.8056852009335795,1.830417227456259
-0.4849567996027062,3.1493943472409143,-0.4424506259323493,2.0726783310901737,-0.5738333445498156,1.3997308209959591,-0.7245370511992621,2.5841184387617773
-0.38448766183640837,3.5800807537012105,-0.33811729055965545,2.772543741588155,-0.4849567996027062,1.2113055181695849,-0.6279321110393605,3.418573351278603
-0.2608333384317345,3.9030955585464326,-0.24537654800615005,3.4993270524899067,-0.3535740809852399,0.9690444145356665,-0.5158703804538747,4.656796769851951
-0.14104321263345643,4.279946164199192,-0.1642283982718329,4.145356662180351,-0.26469753603813073,0.6729475100942146,-0.41926544029397306,5.94885598923284
-0.04057407486715858,4.387617765814266,-0.05603086529274304,5.0067294751009435,-0.09853703896309973,0.1345895020188408,-0.299475314495695,7.2139973082099615
0.07148765571832705,4.333781965006729,0.04057407486715858,5.787348586810229,0.05216666768634681,-0.45760430686406295,-0.18354938630381312,8.398384925975776
0.18354938630381312,4.091520861372814,0.15650000305904044,6.621803499327051,0.19127778151660513,-0.9152086137281294,-0.07535185332472327,9.152086137281294
0.307203709708487,3.741588156123825,0.24924074561254583,7.187079407806191,0.33425309295325967,-1.318977119784659,0.028981482047970353,9.609690444145357
0.4076728474747848,3.283983849259755,0.3497098833788437,7.7254374158815615,0.5197345780602705,-1.6150740242261143,0.12172222460147619,9.798115746971737
0.5197345780602705,2.7456258411843883,0.4347222307195575,7.994616419919247,0.670438284709717,-1.641991924629881,0.2762901288573185,9.421265141318976
0.6781666799225095,2.1265141318977108,0.5197345780602705,8.183041722745628,0.859783967423124,-1.6689098250336478,0.3690308714108239,8.775235531628535
0.8172777937527678,1.534320323014807,0.5931543325817956,8.183041722745628,1.0414012549237395,-1.3997308209959627,0.47336420678351754,7.913862718707943
0.921611129125461,1.1036339165545108,0.670438284709717,8.075370121130554,1.1805123687539973,-1.1305518169582776,0.5854259373690036,6.756393001345895
1.0414012549237395,0.6729475100942146,0.7515864344440342,7.833109017496636,1.3389444706162363,-0.9690444145356665,0.6858950751353015,5.464333781965006
1.1573271831156213,0.4306864064602962,0.8134135961463711,7.56393001345895,1.4935123748720787,-0.7806191117092851,0.7979568057207871,4.199192462987888
1.319623482584256,0.2153432032301481,0.8791049554551047,7.1601615074024245,1.6596728719471092,-0.5383580080753703,0.9022901410934807,2.907133243606996
1.4741913868400989,0.1345895020188408,0.9254753267318576,6.837146702557202,1.7794629977453877,-0.5114401076716035,1.0143518716789668,1.6419919246298775
1.6558086743407139,0.08075370121130732,0.9988950812533828,6.218034993270525,1.9224383091820418,-0.2422611036339184,1.1495987879028293,0.48452220726783324
1.8412901594477247,0.053835800807537026,1.1225494046580566,5.168236877523551,2.069277818225093,-0.13458950201884434,1.2577963208819192,-0.2422611036339184
2.0306358421611317,0.02691790040377029,1.2346111352435423,4.145356662180351,2.2354383153001236,-0.08075370121130376,1.3775864466801968,-0.7267833109017481
2.1349691775338253,0.053835800807537026,1.319623482584256,3.3378196500672956,2.3436358482792135,0,1.5012407700848707,-0.9421265141318997
2.3436358482792135,0,1.3698580514674048,2.9609690444145365,,,1.6905864527982781,-0.8075370121130554
,,1.458734596414514,2.2341857335127884,,,1.8644753450861011,-0.3499327052489889
,,1.5398827461488316,1.6419919246298775,,,2.049956830193112,-0.13458950201884434
,,1.6133025006703563,1.2113055181695849,,,2.2315741176937274,-0.053835800807537026
,,1.7099074408302584,0.7806191117092887,,,2.347500045885609,0
,,1.8335617642349322,0.34993270524899245,,,,
,,1.9958580637035674,0.02691790040377029,,,,
,,2.208388932055351,0.02691790040377029,,,,
,,2.3436358482792135,0,,,,
